,Unnamed: 0,p0,m0,p1,m1,p2,m2,p3,m3
9360,9360,11527.0217568,9.47963378706,68767.2591311,66.2862077478,8186.34593,7.6175792076,2011.67323505,1.40987957857
9361,9361,9776.76890066,8.60949809682,54647.4920754,57.8085893111,7779.36830362,7.39128768606,1683.24674256,1.17970213387
9362,9362,11934.913922,9.67351658913,71875.5110769,68.0406361669,8281.64637654,7.66981396792,2091.25309396,1.46565305907
9363,9363,9839.05046446,8.6416318146,55114.1370878,58.1039400772,7823.43492935,7.41604950905,1683.24674256,1.17970213387
9364,9364,12036.3791342,9.72127375225,72620.4435732,68.4558796376,8327.37984137,7.69478236298,2112.91814766,1.48083699463
9365,9365,9925.90592086,8.68628866326,55731.5410838,58.4929365239,7868.21598031,7.44114693792,1683.24674256,1.17970213387
9366,9366,12137.9426895,9.76889358882,73372.8135101,68.8732816158,8374.61473353,7.72050422512,2129.00813217,1.49211364741
9367,9367,10013.266763,8.73102470034,56354.9651343,58.8837071581,7913.580835,7.46650445209,1683.24674256,1.17970213387
9368,9368,11042.0790522,9.24499847878,64374.0313225,63.742805307,8130.59130006,7.58688974152,1792.07839891,1.25597671321
9369,9369,11916.3583292,9.66476291717,71662.6464215,67.9216163462,8377.92840198,7.72230617802,2090.0104324,1.46478214071
9370,9370,10123.6255385,8.78728223321,57138.2667611,59.3718661846,7965.02565653,7.49517947045,1683.24674256,1.17970213387
9371,9371,12340.2766809,9.86322290911,74911.088641,69.7206003865,8478.18197342,7.77666910623,2169.98310043,1.52083092116
9372,9372,10190.3381774,8.82115384178,57651.5976879,59.6900992977,8014.40983086,7.52262564232,1683.24674256,1.17970213387
9373,9373,12452.5263364,9.91525032284,75753.332479,70.1811349027,8532.56886347,7.80603674799,2186.82163118,1.53263219197
9374,9374,10288.2786021,8.87069675239,58367.4194318,60.1316835008,8069.45420061,7.55312581494,1683.24674256,1.17970213387
9375,9375,11345.8447303,9.39251108115,66643.1207928,65.0661364398,8294.4688592,7.67682085749,1851.26760792,1.29745942303
9376,9376,12239.0479699,9.81611836633,74123.9258443,69.2880238542,8550.28803116,7.8155860509,2148.11689686,1.50550600987
9377,9377,10415.7640637,8.93486199863,59297.012176,60.7014190109,8135.95542217,7.58984656755,1683.24674256,1.17970213387
