,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
37,2163.80297121,1392.92461662,2163.32294061,1392.92132746,18989.2115089,2162.40511572,1392.92383257,2154.81743268,1392.92040425,18986.0908197,2163.4157406,1392.92410957,2155.92942099,1392.91239981,18985.9078857,20265.3367319
38,2184.46895869,1406.24034858,2173.65015971,1406.23724293,18930.6884032,2183.6797338,1406.23710131,2154.81161142,1406.23320999,18839.1300868,2184.37861124,1406.23958689,2159.42129134,1406.22901973,18835.3195512,20257.2480128
39,2201.06208285,1416.9326024,2187.32775552,1416.93108686,19040.2154335,2201.06125205,1416.93205734,2171.42444183,1416.93047894,18864.5678849,2201.0585818,1420.03511663,2171.54239055,1416.9241632,18839.3107263,20259.4079806
40,2232.44277194,1464.25819892,2225.10850835,1427.53262393,19203.7818032,2232.44254161,1464.25804055,2213.07809567,1427.53246575,19034.6336376,2238.75872376,1468.39513807,2213.54314524,1428.56219326,18980.7495469,20262.8870749
41,1000.01003835,651.651868207,999.892074241,643.605482179,8905.32562672,1000.01021566,651.651982866,998.246180738,643.605614897,8887.10960105,1000.00974251,654.812749621,994.380867497,643.604951911,8851.66848788,9423.2860281
42,666.641492123,435.022864574,657.674483706,417.781246766,5763.91138887,666.641452542,435.022837761,657.664514941,417.781213287,5763.86979064,669.01112637,436.229792005,658.647722455,418.471033384,5756.78298742,6103.38974895
43,691.595266082,445.680564481,690.262730353,443.956560738,5687.41342812,691.595143661,445.680482784,690.263574633,443.956462027,5687.41318548,691.595172486,445.680417895,690.526897728,444.129159672,5687.27480422,6108.65514502
44,662.374533702,426.850029858,662.359987653,426.850262716,5475.34684058,662.374372786,426.84992452,662.35984581,426.850151516,5475.34546557,662.374408477,426.849793352,662.359898533,426.850689714,5475.34618473,5864.6371587
45,660.673464254,425.753818785,660.658947922,425.754088408,5356.96862205,660.673360368,425.753750748,660.658862871,425.754019112,5356.96815748,660.67366472,425.753720091,660.659179909,425.755069785,5356.97048828,5858.88457781
46,582.198691567,375.183073303,582.185929283,375.182934986,4695.11637285,582.198624216,375.195733796,582.185871375,375.182888462,4695.11616014,582.198813788,375.182737232,582.186066297,375.183489952,4695.11807564,5162.97392569
47,566.977859836,365.775228215,566.933623474,365.381663749,4576.27964074,567.01693324,365.929424239,566.933564636,365.395692928,4572.35025042,566.946155127,365.541178862,566.933743192,365.354303871,4572.35202827,5027.71284527
48,521.045354959,335.774098251,521.033961507,335.774098251,4150.6423742,521.045354959,335.774098251,521.033961507,335.774098251,4150.63140526,521.045354959,335.774098251,521.033961507,335.774098251,4150.63140722,4620.66481822
49,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
50,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
51,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
52,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
53,534.896634741,341.82451616,532.414881148,344.99737317,4270.58785257,534.896634741,341.82451616,532.414881148,344.99737317,4270.58785257,535.086637135,341.948941925,532.604883395,345.059586053,4270.58785257,4755.29356434
54,613.843124546,391.076820628,609.928479199,396.768082798,5095.09897162,613.46111719,390.93056581,608.615388549,396.528013365,5059.40415425,608.800109323,390.086845108,604.440762149,389.228590899,5039.93287715,5531.45419395
55,727.178816223,456.047509915,722.419792442,468.894135749,6429.19415335,726.173228255,456.047408509,719.370222383,468.289551005,6350.46446562,716.508071234,456.047554738,711.536440588,456.047383477,6314.03115045,6811.82870517
56,2070.44735839,1319.16377719,2059.37622168,1346.33569176,18273.6157529,2066.36362154,1319.16385993,2053.37121399,1342.92531123,17906.5438663,2050.70628562,1319.16577992,2049.34843188,1319.16607945,17866.3211417,19485.6160428
57,2067.94900437,1331.14064645,2067.90344654,1334.63162885,18142.5195408,2067.9493374,1331.14077298,2067.90363286,1333.06882283,18016.491044,2067.94668099,1331.14301083,2067.90097104,1331.14296929,18016.4740116,19599.5898517
58,2090.41512919,1345.62244895,2090.37359218,1345.63181822,18212.5556174,2090.41523869,1345.62248577,2090.3736047,1345.63195184,18212.555042,2090.41258094,1345.62419539,2090.37016571,1345.62090546,18212.5278491,19798.8912651
59,2115.01658398,1361.48344788,2114.97893184,1361.48801622,18502.5602158,2115.01748318,1361.48402803,2114.97953285,1361.48857378,18502.5600208,2115.01586193,1361.48512037,2114.97626139,1361.47698766,18502.5320593,20017.1173236
60,1591.20144344,1023.92711979,1591.17161937,1023.92751823,14452.0279641,1591.20242544,1023.92754466,1591.17211653,1023.92793274,14452.029539,1591.20212193,1023.92784197,1591.17046683,1023.92230228,14452.015181,15371.8029321
61,2163.51923845,1392.74847684,2163.48739658,1392.74486972,18986.8735667,2163.52084461,1392.74921841,2163.4883211,1392.74566853,18986.8773023,2163.52231446,1392.749668,2163.48575347,1392.73732565,18986.8546154,20300.2340991
62,2184.23147535,1406.09211076,2184.1922739,1406.08408182,18928.8002222,2184.1250145,1406.03033415,2183.41627418,1405.96978713,18923.984282,2181.01778654,1405.87679341,2177.15980634,1405.34525829,18870.6136334,20294.1652062
63,2200.56682689,1416.62134352,2197.27571823,1412.7048623,19045.7543685,2200.17677838,1416.39265507,2189.00249372,1409.57833346,18951.0732751,2195.59616778,1416.33615141,2178.19206623,1401.57047206,18851.5427822,20294.8622787
64,2212.01593077,1423.98700028,2200.81144148,1406.8432317,19220.0078209,2212.0856685,1424.03279982,2194.64453686,1403.97138876,19098.2001991,2211.20524065,1423.86396903,2181.86907391,1395.50171405,18984.9475406,20296.4664997
65,999.993671857,647.618208082,999.739890193,642.627490717,8905.69465428,999.994940006,647.619045123,998.777417549,642.112919545,8900.41077769,999.949700393,649.605313244,994.221504632,638.403455907,8860.7191806,9433.20000748
66,667.434624766,432.955969026,651.622169448,415.024756199,5763.94341284,667.434589356,432.95594568,651.620502784,415.024724265,5763.94326319,670.067558737,434.162909158,652.616259578,414.944705574,5760.8764218,6106.51585014
67,691.605972512,445.687459916,689.220085148,441.894601789,5687.53487439,691.60586394,445.687388474,689.220959894,441.894512855,5687.53561051,691.605851812,445.687291972,689.484419525,442.067175906,5687.53604141,6111.61639144
68,662.391944565,426.861248172,662.377368295,426.861625705,5475.47583764,662.39185468,426.861189705,662.377286705,426.861568238,5475.4751314,662.39200174,426.861121897,662.377460741,426.8622005,5475.47690034,5867.32712616
69,660.696759101,425.768829671,660.682206572,425.769241873,5357.27215585,660.696666118,425.768769306,660.682122553,425.769182272,5357.271542,660.697107318,425.768825451,660.682582353,425.77035157,5357.27495989,5859.0998405
70,582.212608583,375.287884332,582.199826135,375.191958624,4695.12400348,582.212565897,375.398880402,582.199787808,375.191931209,4695.11110588,582.212808472,375.195527425,582.200038831,375.192581002,4695.11301449,5163.09900123
71,567.326632703,366.232376847,567.154721803,365.387960514,4578.12823762,567.477566153,366.411884838,567.105652229,365.397600005,4572.61379505,566.961659747,365.859886681,566.949228743,365.364359737,4572.57116562,5027.85115445
72,521.045354959,335.774098251,521.033961507,335.774098251,4150.64284097,521.045354959,335.774098251,521.033961507,335.774098251,4150.63024693,521.045354959,335.774098251,521.033961507,335.774098251,4150.62948813,4620.66481822
73,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
74,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
75,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
76,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
77,534.991635938,341.82451616,532.414881148,344.99737317,4270.58785257,534.991635938,341.82451616,532.414881148,344.99737317,4270.58785257,535.181638332,341.886729042,532.604883395,345.059586053,4270.58785257,4755.29356434
78,615.306485495,391.876340648,611.584846565,396.987711465,5101.12260521,614.849606689,391.655914726,610.2948738,396.662484972,5065.80969312,609.852392488,390.615199416,605.590654033,389.570807167,5043.3612536,5534.03847971
79,730.016661645,456.092725052,726.007480434,469.273013203,6441.53539778,728.856244892,456.052747429,723.008507642,468.499695041,6363.33395621,718.496168123,456.032324361,714.068607912,456.030679914,6320.79528377,6816.94679109
80,2080.9283928,1319.03734485,2070.63545904,1347.5061904,18330.1996095,2075.11834288,1319.03715343,2059.36546477,1343.29917509,17932.5720207,2051.89516662,1319.03879607,2049.69348862,1319.03861637,17873.7706529,19490.7478621
81,2067.69470612,1330.97737759,2067.64929958,1334.89692573,18200.3861502,2067.69487165,1330.97757143,2067.64929591,1332.87876944,18014.4550218,2067.69300865,1330.9801875,2067.64728717,1330.97927309,18014.4411561,19597.3463849
82,2090.12550229,1345.43618982,2090.08379607,1345.44455949,18216.8692629,2090.12578343,1345.43625163,2090.08405201,1345.44478984,18210.1154361,2090.12318249,1345.43790809,2090.08077559,1345.43394251,18210.0912165,19796.3199234
83,2114.71194329,1361.28713205,2114.67441567,1361.29108878,18500.0955462,2114.71255092,1361.28748877,2114.67476231,1361.29143815,18500.0938968,2114.71058652,1361.28854722,2114.6712821,1361.2797293,18500.0645808,20014.4126351
84,1591.04424245,1023.82571297,1591.01443162,1023.8258255,14450.6520525,1591.04502813,1023.82617454,1591.01497855,1023.82627862,14450.6536885,1591.04502249,1023.82657835,1591.013374,1023.82066539,14450.6396541,15370.4100213
85,2163.24635349,1392.5728964,2163.21518733,1392.56876997,18984.5756957,2163.24813437,1392.57365032,2163.21612257,1392.56960629,18984.5792027,2163.25005533,1392.57419719,2163.2135356,1392.56135291,18984.5562392,20310.9375918
86,2184.00070439,1405.94383874,2183.96226751,1405.93547811,18926.9189862,2183.92629587,1405.90016649,2183.83294316,1405.85419153,18926.2319544,2181.614329,1405.73828381,2178.0868847,1405.24648552,18880.88879,20306.3482264
87,2200.63741932,1416.66062533,2199.43524385,1414.94600893,19048.2241418,2200.05297584,1416.30941687,2191.43712682,1410.71384764,18977.506122,2195.51169487,1416.22322552,2178.70360276,1402.18033335,18865.3701069,20306.6104899
88,2211.90118691,1423.91275498,2201.52317605,1419.25857214,19244.2969281,2211.930383,1423.93192801,2194.56116679,1416.68883655,19120.5478341,2209.71662947,1423.76517401,2180.58589117,1404.76718475,18996.597309,20307.6789135
89,999.982709936,647.036446626,999.825488023,643.586659492,8906.16072182,999.982847789,647.036534397,999.488867227,643.586657437,8902.16898391,999.945996966,648.740051367,994.986461344,643.012134084,8865.2023337,9436.51543375
90,666.911341701,433.820173748,652.94183042,415.026858848,5763.97318945,666.911306753,433.820150844,652.94181646,415.026831415,5763.97298495,668.754384198,434.854676269,654.219283138,415.371774995,5761.95025103,6107.5696657
91,691.616588733,445.69430346,689.757796047,442.418658052,5687.6410075,691.616490495,445.694238649,689.758175996,442.418579747,5687.64112491,691.616466685,445.694133616,689.75831186,442.418816663,5687.64161735,6112.62663063
92,662.409389566,426.872489693,662.394794623,426.872823951,5475.62259526,662.409307069,426.872436143,662.394719583,426.872771457,5475.62201829,662.409472444,426.872378523,662.39491756,426.873428908,5475.62338125,5868.18721093
93,660.720229489,425.783954227,660.705657375,425.784329137,5357.50305518,660.720140704,425.783896729,660.705576678,425.784272269,5357.50246736,660.72059641,425.783958935,660.706054829,425.78545186,5357.50588934,5859.30815545
94,582.226685309,375.345587701,582.213893799,375.201010302,4695.27810031,582.23092321,375.457752551,582.213857416,375.200984187,4695.19289541,582.226888879,375.215644246,582.2141129,375.201630746,4695.19481549,5163.22394852
95,567.528106817,366.387832524,567.399767301,365.472970115,4579.36301887,567.689942396,366.550916758,567.323986956,365.491424687,4572.8823287,566.977229932,365.96732172,566.964791152,365.37437399,4572.7310894,5027.98942384
96,521.045354959,335.774098251,521.033961507,335.774098251,4150.64379534,521.045354959,335.774098251,521.033961507,335.774098251,4150.63068158,521.045354959,335.774098251,521.033961507,335.774098251,4150.62902834,4620.66481822
97,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
98,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
99,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
100,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,521.045354959,335.774098251,521.033961507,335.774098251,4149.681776,4620.66481822
101,534.991635938,341.82451616,532.414881148,344.99737317,4270.58785257,534.991635938,341.82451616,532.414881148,344.99737317,4270.58785257,535.181638332,341.886729042,532.604883395,345.059586053,4270.58785257,4755.29356434
102,616.538429107,392.135783741,612.967076227,397.749002301,5105.11645473,615.992211423,391.890451355,611.638641717,397.386754602,5069.02248707,610.693698735,390.847557172,606.557868728,389.165990355,5045.08572274,5535.05798751
103,732.28218133,456.031153813,728.384243346,470.801832424,6449.83644968,730.877451893,456.014511435,725.20951604,469.91778271,6369.62619713,719.912242752,456.014463397,715.537550673,456.014316048,6324.06385578,6819.00546632
104,2089.97481582,1318.91250958,2080.29720443,1353.75610182,18368.1764603,2082.27102901,1318.91241983,2065.40965619,1348.89760078,17947.8399314,2053.3093605,1318.91422161,2050.17745568,1318.9144265,17877.2138303,19492.1240511
105,2067.44859802,1330.81576202,2067.41280084,1336.93619591,18238.3658594,2067.44517466,1330.8157536,2067.39948529,1334.05257313,18012.4125627,2067.4420008,1330.81776457,2067.39629296,1330.81720372,18012.3960905,19595.1075607
106,2089.83763971,1345.25054709,2089.79475409,1345.25819385,18226.034043,2089.83756952,1345.25053364,2089.79461355,1345.25820293,18207.7344756,2089.83417838,1345.25181032,2089.79063972,1345.2468122,18207.7058254,19793.7507072
107,2114.40883206,1361.09039623,2114.36888458,1361.09425199,18497.5877714,2114.40883703,1361.09047357,2114.36881273,1361.09430178,18497.5843237,2114.40595467,1361.09126816,2114.36480886,1361.08192712,18497.5515107,20011.7071932
108,1590.8879837,1023.72351662,1590.85610851,1023.72374632,14449.284233,1590.88859166,1023.7239266,1590.85656312,1023.72413986,14449.2849974,1590.8877814,1023.7245525,1590.85510992,1023.71840958,14449.2718448,15369.0154621
109,2162.97326007,1392.39606946,2162.94116778,1392.3925355,18982.2977595,2162.97773628,1392.3970905,2162.94242502,1392.39368828,18982.3030838,2162.97957593,1392.39791165,2162.94004573,1392.38536509,18982.2822618,20315.2575362
110,2183.77871609,1405.79571823,2183.7320881,1405.79090724,18925.0369441,2183.7803535,1405.7967838,2183.03251915,1405.79216072,18925.044698,2183.72395671,1405.76727977,2176.68427817,1405.72225563,18895.6244336,20311.5410866
111,2200.53738725,1416.59482339,2198.92301278,1416.47744588,19047.1122075,2200.14967631,1416.34736313,2190.09971099,1414.59031308,18998.926871,2198.11520601,1416.10471364,2176.33054183,1407.95830107,18874.142903,20311.7675066
112,2212.02612586,1423.98914798,2205.42710677,1415.51496111,19263.2206209,2211.94608748,1423.93700507,2196.9907554,1411.50008837,19137.8295506,2211.29491828,1423.73755052,2181.98354797,1400.59201374,19005.657456,20312.678143
113,999.96952064,647.889992047,999.888439191,643.496275505,8906.29523286,999.970049412,647.890344872,999.698599544,643.368065874,8902.92745157,999.949372978,649.602884789,995.459065139,640.580451032,8868.37179962,9438.09343143
114,669.547366722,434.167047189,654.261331377,415.373735442,5764.00410426,669.547331623,434.167023797,654.261338822,415.373705864,5764.00392361,671.916978178,435.373964699,655.827811584,415.543772039,5762.38751719,6108.07402194
115,691.627143665,445.701116442,690.031359287,442.942725543,5687.73424018,691.627052039,445.701055042,690.032045254,442.942652006,5687.73426442,691.627014841,445.700937101,690.295438602,443.115295106,5687.73441782,6113.10653841
116,662.426830571,426.883748976,662.412254087,426.884084895,5475.78495069,662.426753692,426.883698165,662.412184784,426.884035678,5475.78444082,662.42691491,426.883631593,662.412376197,426.884696103,5475.78573517,5868.59869151
117,660.743660884,425.799074692,660.729111763,425.799457304,5357.6896824,660.743578403,425.799020376,660.729037279,425.799403971,5357.68916118,660.744072044,425.799099422,660.729552389,425.800624107,5357.69286228,5859.51594648
118,582.240768084,375.282950151,582.227988054,375.210101225,4695.50017726,582.240729252,375.364101797,582.227953065,375.210075727,4695.33014405,582.240977145,375.210433565,582.228211599,375.210726545,4695.33213683,5163.34872049
119,567.427445216,366.229216215,567.231180799,365.434641954,4580.10166035,567.557984347,366.385406983,567.162148138,365.443861194,4573.05822639,566.992837917,365.833778687,566.980409671,365.384452794,4572.85424597,5028.12760672
