,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,t6,hsp0,m,rh,tdis,twater,mwa
6501,30.6233333333,508.933333333,1561.41874864,9630.63133576,-11582.4857658,-163.091789163,22.9203972831,22.9204391219,22.920752037,22.9202095112,23.5576552121,22.9200629238,22.92,1.56279205813,0.0,15.6771194232,82.2222222222,0.0
6502,30.6516666667,502.316666667,1561.67082884,9634.46940694,-11067.380276,-7.47123526497,22.9199592904,22.9199619114,22.9199859718,22.9199325697,23.5555309321,22.9199305338,22.92,1.45377343197,0.0,15.4797050794,82.2222222222,0.0
6503,30.68,495.7,1561.68237386,9659.4864825,-11611.2499979,-163.026960285,22.910402317,22.9104439254,22.9107656858,22.9102121828,23.5509182457,22.9100648266,22.91,1.56955252416,0.0,15.6802615072,82.2222222222,0.0
6504,30.7083333333,489.083333333,1561.934225,9663.14840134,-11096.7577018,-7.51570079787,22.9099617314,22.9099647109,22.9099940769,22.9099334523,23.5486149614,22.9099315259,22.91,1.45946019981,0.0,15.4788811681,82.2222222222,0.0
6505,30.7366666667,482.466666667,1561.94583279,9659.38178931,-11312.6483983,-0.0310477880925,22.9099599113,22.9099611729,22.9099673339,22.9099345251,23.5460643804,22.9099256641,22.91,1.5185034673,0.0,15.6288160481,82.2222222222,0.0
6506,30.765,475.85,1561.94588074,9685.03649379,-11594.4301326,-163.20392872,22.9003928562,22.9004325584,22.9007511228,22.9002053103,23.5419025988,22.9000668106,22.9,1.55470316111,0.0,15.6115860781,82.2222222222,0.0
6507,30.7933333333,469.233333333,1562.19787632,9688.02021649,-11118.9511876,-7.25587139214,22.8999675153,22.8999709766,22.9000059018,22.8999366482,23.5400536412,22.8999331078,22.9,1.46820183482,0.0,15.4981846215,82.2222222222,0.0
6508,30.8216666667,462.616666667,1562.20907708,9712.04630227,-11662.8404067,-161.690385721,22.8904895123,22.8905366952,22.8909271363,22.8902666654,23.5356954775,22.8900691948,22.89,1.58005378978,0.0,15.6763730055,82.2222222222,0.0
6509,30.85,456.0,1562.4586076,9715.13166941,-11153.8587725,-8.92142702319,22.8899665554,22.8899698874,22.8900048547,22.8899357731,23.5335714326,22.8899340014,22.89,1.47134307169,0.0,15.4809682606,82.2222222222,0.0
6510,30.8783333333,452.916666667,1562.47237235,9737.81334895,-11686.7057289,-161.747450604,22.880485559,22.8805308495,22.8809116008,22.8802657452,23.5289345967,22.8800709473,22.88,1.58597926704,0.0,15.6787991152,82.2222222222,0.0
6511,30.9066666667,449.833333333,1562.72186155,9738.88167586,-11178.5166775,-8.94166652494,22.879961435,22.8799636729,22.8799870699,22.8799338635,23.526602221,22.8799348694,22.88,1.47652292803,0.0,15.4808041494,82.2222222222,0.0
6512,30.935,446.75,1562.73565038,9732.75242635,-11385.4131589,-0.134814833117,22.8799535327,22.8799531707,22.8799419165,22.87993251,23.5240121903,22.879929093,22.88,1.53444596476,0.0,15.628284095,82.2222222222,0.0
6513,30.9633333333,443.666666667,1562.73585827,9756.14560745,-11667.0358789,-163.155689742,22.8703902992,22.8704260494,22.870733764,22.8702064978,23.5197615992,22.870072683,22.87,1.57101894479,0.0,15.6122567727,82.2222222222,0.0
6514,30.9916666667,440.583333333,1562.98738972,9756.82783733,-11189.1713582,-7.31149383724,22.8699617421,22.869963679,22.869985851,22.8699347171,23.5178635526,22.8699362634,22.87,1.48339328672,0.0,15.4978297887,82.2222222222,0.0
6515,31.02,437.5,1562.99865889,9778.5402277,-11730.3416881,-161.616364245,22.8604890532,22.8605322654,22.8609195865,22.8602689215,23.5133987988,22.8600749728,22.86,1.59598877294,0.0,15.6771534916,82.2222222222,0.0
6516,31.0483333333,434.416666667,1563.24768949,9779.2736445,-11219.4577654,-8.99127187265,22.8599620563,22.8599642491,22.859992003,22.8599341608,23.5112166496,22.859937044,22.86,1.48589154874,0.0,15.4804289198,82.2222222222,0.0
6517,31.0766666667,431.333333333,1563.26154055,9864.73900684,-11814.5161133,-161.617447835,22.8504896495,22.8505317597,22.8509123219,22.8502689636,23.5064563961,22.8500766154,22.85,1.61024819287,0.0,15.6798265213,82.2222222222,0.0
6518,31.105,428.25,1563.51044376,9874.83328883,-11316.114457,-9.07982469105,22.8499574816,22.8499589123,22.8499781506,22.8499323749,23.5040535652,22.8499378051,22.85,1.5006356672,0.0,15.48012143,82.2222222222,0.0
6519,31.1333333333,425.166666667,1563.52442398,9896.12793295,-11846.0831617,-161.573284689,22.8404880035,22.8405288149,22.8409038636,22.8402690681,23.4991374519,22.8400782281,22.84,1.61670868203,0.0,15.6795154648,82.2222222222,0.0
6520,31.1616666667,422.083333333,1563.77313025,9896.59038209,-11338.3769741,-9.11291537864,22.8399539151,22.8399547715,22.8399684378,22.839930879,23.4966520672,22.8399385421,22.84,1.50554234504,0.0,15.4797891618,82.2222222222,0.0
6521,31.19,419.0,1563.78715415,9889.72581856,-11543.6986534,-0.132261056736,22.8399461636,22.8399447324,22.8399250448,22.8399295634,23.4939318997,22.8399328493,22.84,1.56450047646,0.0,15.6288172885,82.2222222222,0.0
6522,31.2183333333,415.916666667,1563.78735769,9912.4047969,-11824.7019715,-163.03584409,22.8303912605,22.8304236302,22.8307299941,22.8302081302,23.489536562,22.8300796837,22.83,1.60104373291,0.0,15.612210777,82.2222222222,0.0
6523,31.2466666667,412.833333333,1564.03818586,9912.68281306,-11346.9315057,-7.42185218649,22.8299562941,22.829957366,22.829975758,22.8299323144,23.4875700576,22.8299397402,22.83,1.51240339857,0.0,15.49734441,82.2222222222,0.0
6524,31.275,409.75,1564.04960153,9934.16909769,-11887.0079343,-161.41134982,22.820496908,22.8205368532,22.8209295899,22.8202744551,23.4829742237,22.8200818904,22.82,1.62654696338,0.0,15.6780285306,82.2222222222,0.0
6525,31.3033333333,406.666666667,1564.29780313,9934.5961435,-11377.0082139,-9.20172898466,22.8199576489,22.819959185,22.8199854812,22.8199320138,23.4807322165,22.8199404019,22.82,1.51479261003,0.0,15.4796047736,82.2222222222,0.0
6526,31.3316666667,403.583333333,1564.31194915,9955.93517105,-11906.6911426,-161.465969509,22.8104954038,22.8105342752,22.8109226404,22.8102745674,23.4758762207,22.8100834039,22.81,1.63199962976,0.0,15.6802327979,82.2222222222,0.0
6527,31.36,400.5,1564.56010592,9956.14155442,-11399.5210236,-9.24322782216,22.8099537322,22.8099546523,22.8099728619,22.809930395,23.4734635253,22.8099410459,22.81,1.51974615533,0.0,15.4791716596,82.2222222222,0.0
6528,31.3883333333,397.416666667,1564.57430836,9949.15499163,-11604.1266979,-0.140977821165,22.8099454706,22.8099441563,22.8099269068,22.8099289143,23.4707824761,22.8099353983,22.81,1.57937715388,0.0,15.6292618925,82.2222222222,0.0
6529,31.4166666667,394.333333333,1564.57452498,9971.36645517,-11884.7659271,-162.987395223,22.8003943596,22.8004249748,22.8007378425,22.8002109113,23.4663853906,22.8000846662,22.8,1.61590647784,0.0,15.6121869581,82.2222222222,0.0
6530,31.445,391.25,1564.82489067,9970.61069323,-11406.1798396,-7.48204633074,22.7999559091,22.7999569641,22.7999776755,22.7999318221,23.464457413,22.7999421072,22.8,1.52646571766,0.0,15.4968631984,82.2222222222,0.0
6531,31.4733333333,388.166666667,1564.83638111,9990.92158627,-11944.6827777,-161.332139725,22.7905021072,22.7905399772,22.7909407006,22.7902787995,23.4598444681,22.7900868189,22.79,1.64148320057,0.0,15.6785919996,82.2222222222,0.0
6532,31.5016666667,385.083333333,1565.08407697,9990.20963787,-11434.048453,-9.29475014953,22.789957451,22.7899589536,22.7899873103,22.7899316279,23.4576292185,22.7899426896,22.79,1.5285075524,0.0,15.4788992133,82.2222222222,0.0
6533,31.53,382.0,1565.09834387,10010.4501672,-11962.0870989,-161.397645262,22.7805001525,22.7805369715,22.7809322739,22.7802787166,23.4527418689,22.7800882423,22.78,1.64670794457,0.0,15.6809544521,82.2222222222,0.0
6534,31.5583333333,378.916666667,1565.34601155,10009.5868239,-11454.3641443,-9.32940412746,22.7799534852,22.7799543899,22.7799739655,22.7799300002,23.4503413832,22.7799432564,22.78,1.53320760338,0.0,15.4784792997,82.2222222222,0.0
