,p0,m0,p1,m1,p2,m2,p3,m3
5057,20479.3087639,13.2092509849,147412.691517,103.317868249,14950.2439364,10.8214570427,4771.24175749,3.34392097141
5058,23790.6470815,14.392866752,177383.301449,114.892937051,17799.9484933,11.9642452304,5400.80948505,3.78515300996
5059,20542.9793368,13.2327752201,147886.465578,103.508609395,15017.6330661,10.849558684,4800.57041227,3.36447593566
5060,23975.3222401,14.4566670171,178832.269161,115.429570334,17954.2801663,12.0237003916,5430.18417244,3.80574023614
5061,20693.8906497,13.2884032895,149060.092187,103.979936038,15146.8994417,10.9033048198,4829.5019623,3.38475258937
5062,22400.1967061,13.905328476,164239.784975,109.933322615,16577.9477024,11.4850781399,5096.36962604,3.57178657815
5063,23559.8160107,14.3128144965,175010.051673,114.009782527,17635.0523343,11.9004652287,5401.35162435,3.78553296786
5064,20940.0246838,13.3787473951,150977.44,104.746382213,15347.6033591,10.9863451871,4857.4940063,3.40437079103
5065,24316.9691505,14.5741315171,181566.085135,116.43684712,18259.7109101,12.1406970722,5488.91401701,3.84690100075
5066,21007.0947126,13.4032839082,151487.727787,104.9496314,15419.1634262,11.0158344153,4887.21975113,3.42520405553
5067,24508.5081264,14.6396699124,183077.282898,116.990774187,18420.5065947,12.2019399352,5518.57534908,3.86768912162
5068,21161.2523329,13.45954888,152691.834607,105.428021196,15551.9034616,11.0703726439,4916.35661152,3.44562460084
5069,24694.2454478,14.7030094095,184566.916972,117.534825422,18581.0552653,12.2628515134,5548.29325358,3.88851689123
5070,21331.2549974,13.5213870557,154040.861613,105.961989621,15698.4986564,11.1303605853,4945.57095325,3.46609944889
5071,23095.658525,14.1507944979,169762.962178,112.038147688,17183.0019857,11.7242363307,5213.07632509,3.65358037489
5072,24274.6844293,14.5596326395,180745.434049,116.135185763,18262.9048222,12.1419158842,5519.51281043,3.86834614066
5073,21598.5262272,13.6181674036,156171.21341,106.800985694,15920.3632347,11.2206722073,4973.68057648,3.48580005586
5074,25070.3877655,14.8306453555,187672.309476,118.662802147,18923.8017256,12.3921093015,5607.43202348,3.92996425084
5075,21677.2559704,13.6465747566,156809.439592,107.051342213,16005.10623,11.2550179793,5003.73456241,3.50686336787
5076,25288.1825622,14.9041670065,189443.520603,119.302479633,19110.1105849,12.4619338409,5637.38647467,3.95095780401
5077,21855.7513493,13.7108113149,158254.596882,107.616558792,16161.859938,11.3183345657,5033.21925587,3.52752769171
5078,23667.5400182,14.3502158414,174421.216865,113.789840728,17690.0644524,11.9217728016,5301.3197666,3.71542572032
5079,24863.2891924,14.7604752216,185581.921817,117.904421314,18789.0114166,12.3414020136,5608.95844068,3.93103403911
5080,22140.7937446,13.8129133909,160549.331408,108.509348011,16400.1339208,11.4140533433,5061.73806812,3.54751507848
5081,25686.6107845,15.0379541821,192769.149479,120.49647003,19475.4298611,12.5979752318,5697.31604831,3.99295939779
5082,22221.3154752,13.8416509886,161212.263324,108.76620791,16487.9763954,11.4491835236,5092.18407721,3.56885313961
5083,25911.5855732,15.1130982297,194609.944763,121.153471061,19668.9291513,12.6695734319,5727.59988497,4.0141838005
5084,22404.4958546,13.9068561066,162704.73764,109.342767142,16649.8653653,11.5137073554,5121.88058912,3.58966591624
5085,24264.1927815,14.5560334782,179323.340444,115.611004748,18222.4114989,12.1264563966,5390.43277013,3.77788049761
5086,25476.0304556,14.9673576585,190657.730473,119.739474412,19339.983795,12.5476697367,5699.1139694,3.99421946934
5087,22705.4645191,14.0134812601,165145.990683,110.280801112,16902.7272596,11.6139300523,5150.38460628,3.60964293388
5088,26327.1543549,15.2511595948,198106.354661,122.393910112,20051.9835849,12.8103952642,5787.71497256,4.05631541158
5089,22787.38976,14.0423971983,165828.955311,110.542119393,16993.212569,11.6496308023,5181.06273034,3.6311436726
5090,26542.5763414,15.3223544324,200019.833281,123.068697672,20252.9504732,12.883799634,5818.28400671,4.07773969472
5091,22996.1966435,14.1158904253,167364.697502,111.127989164,17159.8525439,11.7151561913,5211.102036,3.65219669596
5092,24870.5736096,14.7629476874,184453.890912,117.493613591,18778.5329649,12.3374533147,5480.23199105,3.8408162098
