,tout,s,i,ext,hvac,storage,t1,t2,t3,t4,t5,t6,hsp0,m,rh,tdis,twater,mwa
1949,26.15,782.0,17749.0950774,13258.0144278,-31433.0340215,-0.389718376119,23.7999285474,23.7999339799,23.7999392285,23.799936056,23.7999368748,24.7219594023,23.8,3.74914056287,0.0,15.6198182932,82.2222222222,0.0
1950,26.1683333333,783.5,17746.3555443,13302.2807493,-31055.5880178,-0.330993411493,23.7999261201,23.7999297034,23.7999241488,23.7999324289,23.7999320405,24.7273878136,23.8,3.68087597223,0.0,15.5682222309,82.2222222222,0.0
1951,26.1866666667,785.0,17743.5635553,13471.1381909,-33677.7830561,-1343.58182307,23.7900734958,23.7901690764,23.7906615339,23.790145775,23.7902025333,24.7303188794,23.79,4.02512686535,0.0,15.6268315594,82.2222222222,0.0
1952,26.205,786.5,17744.8841783,13532.1673123,-29746.1291272,-19.8093616004,23.7899282343,23.7899326649,23.7899671152,23.789935071,23.789936034,24.7359708908,23.79,3.50318979353,0.0,15.5054952147,82.2222222222,0.0
1953,26.2233333333,788.0,17744.8274824,13566.0329642,-31736.5593424,-0.393618089687,23.7899253479,23.7899316738,23.7899405634,23.7899342284,23.7899350535,24.7413124157,23.79,3.78980353218,0.0,15.6196586125,82.2222222222,0.0
1954,26.2416666667,789.5,17749.0696787,13606.797634,-31362.7934571,-0.318243891462,23.7899230143,23.7899274169,23.7899253707,23.7899306595,23.789930304,24.7467871193,23.79,3.7216890726,0.0,15.5681593181,82.2222222222,0.0
1955,26.26,791.0,17755.2047413,13775.3611222,-33993.5076712,-1343.52429888,23.7800718232,23.7801733191,23.7806662316,23.7801472556,23.7802042311,24.749652806,23.78,4.06784451718,0.0,15.6270195851,82.2222222222,0.0
1956,26.2783333333,792.5,17762.2859259,13836.1907699,-30067.878481,-19.9749228253,23.7799253626,23.7799307799,23.779968494,23.7799335525,23.7799346243,24.7553134496,23.78,3.54524546448,0.0,15.5054025379,82.2222222222,0.0
1957,26.2966666667,794.0,17761.8056858,13867.2898294,-32054.5472652,-0.398586131024,23.7799224402,23.7799298054,23.7799415107,23.7799327441,23.7799336598,24.7606355386,23.78,3.83241806362,0.0,15.6197194115,82.2222222222,0.0
1958,26.315,795.5,17759.6972917,14033.2163585,-34262.8186634,-1343.83412136,23.7700698132,23.7701754422,23.770665893,23.7701472971,23.7702041978,24.7632378642,23.77,4.09894873992,0.0,15.6148898297,82.2222222222,0.0
1959,26.3333333333,797.0,17761.1816618,14090.5758879,-30320.782772,-19.9693062755,23.7699234062,23.7699296126,23.7699695396,23.7699325892,23.7699338053,24.7687249933,23.77,3.57968620768,0.0,15.5061811564,82.2222222222,0.0
1960,26.3516666667,798.5,17758.5873677,14120.6733431,-32304.8049097,-0.406586456621,23.7699204253,23.7699285877,23.7699422181,23.7699317514,23.769932784,24.7738899466,23.77,3.86704187665,0.0,15.6197306559,82.2222222222,0.0
1961,26.37,800.0,17755.7942648,14157.7686069,-31920.4149854,-0.296670436232,23.7699182503,23.7699242916,23.7699267684,23.7699282266,23.769928095,24.7792076977,23.77,3.79685301724,0.0,15.5678665227,82.2222222222,0.0
1962,26.3883333333,801.5,17753.1903546,14323.9485981,-34539.822947,-1343.41093421,23.7600697246,23.7601823279,23.7606731683,23.7601507607,23.7602083225,24.7817679507,23.76,4.14328021107,0.0,15.627030853,82.2222222222,0.0
1963,26.4066666667,803.0,17757.9259827,14379.7571645,-30607.6906945,-20.2732764408,23.7599211041,23.7599284153,23.759970524,23.7599315871,23.7599330083,24.7873046025,23.76,3.61737843551,0.0,15.5050074333,82.2222222222,0.0
1964,26.425,804.5,17763.1319743,14407.7256341,-32595.8646622,-0.403692857044,23.7599181447,23.7599274751,23.7599429839,23.7599308582,23.7599320744,24.7924688334,23.76,3.90675277899,0.0,15.6199791227,82.2222222222,0.0
1965,26.4433333333,806.0,17768.8992978,14572.6639202,-34811.2948445,-1343.72900872,23.7500681144,23.7501851013,23.7506720057,23.7501511325,23.7502086783,24.7947382131,23.75,4.17475778982,0.0,15.6149628381,82.2222222222,0.0
1966,26.4616666667,807.5,17775.1619859,14627.8088107,-30872.6278193,-20.2802621836,23.7499194552,23.7499277146,23.7499712406,23.7499309648,23.7499325677,24.8000524296,23.75,3.65351209404,0.0,15.5059456235,82.2222222222,0.0
1967,26.48,809.0,17774.2424403,14655.5052284,-32854.8355233,-0.409884473793,23.7499164507,23.7499266902,23.749943388,23.7499301876,23.7499315454,24.8050097422,23.75,3.94259736838,0.0,15.6199365853,82.2222222222,0.0
1968,26.4983333333,810.5,17771.9822439,14690.3306225,-32469.1793312,-0.283946870929,23.7499143693,23.7499222824,23.7499277259,23.7499266518,23.7499268411,24.8101164066,23.75,3.87143569087,0.0,15.5676970638,82.2222222222,0.0
1969,26.5166666667,812.0,17769.3269379,14853.7779185,-35085.5146829,-1343.28981994,23.7400685464,23.7401929218,23.7406783341,23.7401550446,23.7402132973,24.8123060714,23.74,4.21912200047,0.0,15.6271397686,82.2222222222,0.0
1970,26.535,813.5,17770.6358324,14906.5713178,-31147.879216,-20.5922074461,23.7399176156,23.7399270956,23.7399719764,23.7399303801,23.7399322154,24.8176478918,23.74,3.68995704062,0.0,15.5046302999,82.2222222222,0.0
1971,26.5533333333,815.0,17768.0066649,14931.795109,-33124.3301938,-0.399412409331,23.7399146882,23.7399261599,23.7399440641,23.7399297286,23.7399312924,24.8225979741,23.74,3.97988604628,0.0,15.6200742632,82.2222222222,0.0
1972,26.5716666667,816.5,17765.7438004,15095.2915158,-35330.6236756,-1343.62425273,23.730067234,23.7301962446,23.7306766179,23.7301556746,23.7302139321,24.8245055763,23.73,4.24739155672,0.0,15.6148430935,82.2222222222,0.0
